RMP_JH_201500609_grk_MCP-Dendra_oocyte_stg5_NC_Green_Red_100xSI_ZT_155_R3D_D3D_snapshot_01.jpg,centroids
0,1.8947368421052631,169.52631578947367
1,3.4444444444444446,185.33333333333334
2,0.9285714285714286,340.14285714285717
3,0.375,519.0
4,10.203125,220.0625
5,11.5,252.58333333333334
6,13.5,572.0
7,16.875,58.625
8,16.25,416.5
9,19.705882352941178,196.05882352941177
10,22.555555555555557,405.55555555555554
11,27.793103448275861,417.55172413793105
12,32.75,352.25
13,39.138888888888886,599.77777777777783
14,39.925925925925924,375.18518518518516
15,46.877192982456137,70.754385964912274
16,44.5,225.66666666666666
17,51.444444444444443,490.33333333333331
18,55.685714285714283,310.08571428571429
19,58.333333333333336,190.33333333333334
20,60.700000000000003,138.75
21,63.5,392.5
22,72.40384615384616,482.71153846153845
23,72.625,212.5
24,77.717948717948715,61.846153846153847
25,82.0,243.5
26,87.384615384615387,456.30769230769232
27,93.736842105263165,160.84210526315789
28,97.272727272727266,216.09090909090909
29,100.6140350877193,543.43859649122805
30,101.5,246.0
31,102.5,404.5
32,104.5,147.5
33,117.2,195.19999999999999
34,119.77272727272727,417.5
35,123.56666666666666,110.23333333333333
36,131.64285714285714,233.10714285714286
37,131.5,435.80000000000001
38,135.5,410.0
39,138.33333333333334,226.5
40,137.80000000000001,356.0
41,141.84,590.36000000000001
42,144.82608695652175,241.21739130434781
43,146.21333333333334,423.58666666666664
44,149.9433962264151,228.33962264150944
45,151.71428571428572,320.0
46,154.02777777777777,400.69444444444446
47,161.54545454545453,442.36363636363637
48,162.46666666666667,240.63333333333333
49,167.33333333333334,408.60000000000002
50,166.25,473.75
51,171.33333333333334,464.33333333333331
52,177.1875,489.625
53,178.75675675675674,446.97297297297297
54,183.66666666666666,389.875
55,182.0,452.0
56,185.44444444444446,474.33333333333331
57,187.66666666666666,7.1666666666666661
58,189.66666666666666,448.83333333333331
59,193.95238095238096,446.47619047619048
60,199.69565217391303,435.08695652173913
61,203.92592592592592,512.85185185185185
62,208.5,544.60000000000002
63,208.5,35.0
64,213.5,468.75
65,221.62745098039215,246.13725490196077
66,221.5,169.5
67,225.5,535.5
68,237.66666666666666,443.75
69,239.38461538461539,8.384615384615385
70,251.0,548.19512195121956
71,253.32142857142858,411.14285714285717
72,257.33333333333331,179.88888888888889
73,260.0,551.5
74,264.5,370.5
75,266.75,449.5
76,268.66666666666669,416.83333333333331
77,272.0,197.0
78,273.5625,577.5
79,284.91666666666669,252.41666666666666
80,285.16666666666669,199.5
81,289.66666666666669,133.95833333333334
82,294.37209302325579,392.69767441860466
83,294.80000000000001,469.19999999999999
84,304.57894736842104,156.76315789473685
85,298.5,364.5
86,304.65384615384613,1.7307692307692308
87,306.625,139.75
88,312.83505154639175,486.45360824742266
89,310.33333333333331,541.55555555555554
90,317.63492063492066,107.6984126984127
91,316.5,246.0
92,324.65517241379308,432.79310344827587
93,326.5,180.0
94,333.5,594.5
95,340.83333333333331,86.5
96,342.80000000000001,336.80000000000001
97,344.85714285714283,483.0
98,352.80000000000001,499.80000000000001
99,355.5,559.5
100,358.89999999999998,359.5
101,358.5,426.0
102,360.75,225.25
103,362.44444444444446,509.5
104,371.70103092783506,355.23711340206188
105,371.0,405.5
106,379.0,530.5
107,381.0,590.28571428571433
108,382.125,438.875
109,392.9078014184397,166.93617021276594
110,391.63636363636363,95.090909090909093
111,391.19999999999999,499.80000000000001
112,392.75,584.5
113,397.30000000000001,103.40000000000001
114,396.5,345.0
115,396.5,594.5
116,404.71428571428572,348.85714285714283
117,406.5,92.0
118,416.0,102.64444444444445
119,413.05000000000001,396.80000000000001
120,417.16666666666669,121.73333333333333
121,425.23333333333335,125.06666666666666
122,425.83333333333331,156.16666666666666
123,430.74683544303798,87.962025316455694
124,428.72727272727275,304.06060606060606
125,428.28571428571428,231.0
126,430.5,301.5
127,432.63636363636363,334.09090909090907
128,433.36363636363637,521.90909090909088
129,436.5,29.0
130,441.14285714285717,148.9047619047619
131,447.62686567164178,226.98507462686567
132,447.63809523809522,97.266666666666666
133,446.66666666666669,337.5
134,451.39999999999998,444.39999999999998
135,454.4736842105263,280.68421052631578
136,455.875,86.5
137,456.42857142857144,308.71428571428572
138,459.5,248.0
139,462.5,332.5
140,464.5,197.5
141,467.46153846153845,226.30769230769232
142,470.0,117.175
143,470.5,92.5
144,472.83333333333331,190.5
145,477.66666666666669,282.22222222222223
146,478.0,303.25
147,482.39130434782606,330.56521739130437
148,482.5,583.0
149,483.19999999999999,367.19999999999999
150,487.54545454545456,294.15151515151513
151,486.78571428571428,340.92857142857144
152,487.0,326.0
153,494.26315789473682,341.89473684210526
154,497.09615384615387,282.80769230769232
155,500.0,70.0
156,497.75,230.0
157,501.0,270.625
158,501.14634146341461,339.19512195121951
159,501.5,464.5
160,506.92857142857144,17.571428571428569
161,505.58823529411762,140.88235294117646
162,507.03846153846155,259.09615384615387
163,518.31128404669266,64.723735408560316
164,513.28571428571433,189.5
165,516.57500000000005,296.5
166,514.5,197.5
167,521.625,5.0
